Title,Composer,Style/Genre,Sub-Genre/Tradition,Musical Period / Era,Type of Piece,Key Signature (common),Time Signature,Difficulty (Violin),Ensemble Type,Country / Region of Origin,Primary Use Case,Session Friendliness (if folk),Primary Tags,Secondary Tags,Notes
Bésame Mucho,Consuelo Velázquez,Latin / bolero,Bolero,20th century (c. 1900–2000),Song / standard,E minor,4/4,Intermediate,Solo violin + accompaniment,Mexico,Romantic feature,N/A,"Latin › Bolero standard; mood: romantic, dramatic","Expressive slides, vibrato, rubato phrasing; good for lyrical playing",Frequently arranged in Em or Dm for strings.
Bistro Fada,Stephane Wrembel,Jazz,Modern gypsy waltz,Contemporary (c. 1975–present),Waltz / film theme,D minor,3/4,Intermediate–Advanced,Solo violin / gypsy ensemble,France,Gypsy jazz performance,N/A,"Gypsy Jazz › Waltz; mood: nostalgic, bittersweet","Rest-stroke style, rubato, slides, arpeggios; medium tempo waltz",Theme from *Midnight in Paris*.
Blue Lou Lick,Stephane Grappelli,Jazz,Gypsy jazz,20th century (c. 1900–2000),Lick / étude fragment,A major (often over A7 / Dmaj),4/4,Intermediate,Solo violin,France,Improvisation vocabulary,N/A,"Jazz › Gypsy jazz lick; mood: energetic, playful","Focus on swing phrasing, position shifts, classic Grappelli vocabulary",Key may be flexible; use it over ii–V–I in D or A.
Blue Lou,Stephane Grappelli,Jazz,Gypsy jazz / swing,20th century (c. 1900–2000),Tune / solo transcription,D major,4/4,Advanced,Solo violin + rhythm section,France,Jazz performance / transcription study,N/A,Jazz › Gypsy jazz standard; mood: upbeat swing,"Demands clean shifting, double stops, fast runs, and swing feel",Key may depend on your chart; often in D for violin.
Blues en Mineur,Django Reinhardt,Jazz,Gypsy jazz minor blues,20th century (c. 1900–2000),Minor blues head,D minor,4/4,Intermediate–Advanced,Solo violin + rhythm section,France,Gypsy jazz performance,N/A,"Jazz › Gypsy jazz › Minor blues; mood: moody, intense",Great for learning minor-blues vocabulary and Django-style phrasing,Typically in Dm in gypsy jazz circles.
Brandenburg Concerto No. 3,Johann Sebastian Bach,Classical,Baroque,Baroque (c. 1600–1750),Concerto movement / orchestral excerpt,G major,4/4,Advanced–Professional,Solo violin line from ensemble,Germany,Concerto excerpt / orchestral study,N/A,"Classical › Baroque concerto; mood: energetic, joyful","Fast passagework, string crossings, ensemble playing practice",Usually played from orchestral part; your version may isolate violin lines.
Bublitchki,Traditional Russian,Folk / Klezmer-adjacent,Yiddish theatre / Russian-Jewish,20th century (c. 1900–2000),Song / dance tune,A minor,4/4,Intermediate,Solo violin,Eastern Europe,Klezmer-style performance,Occasional,"Folk › Yiddish/Russian song; mood: bittersweet, theatrical","Uses slides, krekhts-style ornaments if played Klezmer-style",Spelling varies (‘Bublitchki/Bublitchki’).
Can she excuse my wrongs,John Dowland (1563--1626),Classical,Renaissance lute song,Renaissance (c. 1400–1600),Lute song / air,A minor,3/2 or 4/4,Intermediate,Solo violin (melody) or violin + voice,England,Early music performance,N/A,"Classical › Renaissance song; mood: plaintive, noble","Ornamentation in style (grace notes, trills); modal flavor",Key is arrangement-dependent; often Am or Gm.
Canon Rock,J. Pachelbel (1653-1706),Rock / classical crossover,Rock arrangement of baroque canon,Contemporary (c. 1975–present),Virtuoso arrangement,D major,4/4,Advanced,Solo violin + backing,Germany / modern rock,"Showpiece, fun performance",N/A,"Crossover › Rock arrangement; mood: epic, energetic","Fast runs, big shifts, double stops; rock phrasing on classical harmony",Based on Pachelbel’s Canon in D.
Canon in D,J. Pachelbel (1653-1706),Classical,Baroque,Baroque (c. 1600–1750),Canon / processional,D major,4/4,Intermediate,Violin + piano / strings,Germany,"Wedding processional, recital",N/A,"Classical › Baroque › Canon; mood: serene, noble","Great for sustained tone, simple bowing, and basic shifting",Standard wedding repertoire.
Canon,J. Pachelbel,Classical,Baroque,Baroque (c. 1600–1750),Canon / general version,D major,4/4,Intermediate,Solo violin + accompaniment,Germany,Same as above,N/A,"Classical › Baroque canon; mood: calm, ceremonial",Similar use to Canon in D; simplified or adapted version,Treat as same core piece as above if needed.
Carol of the Bells,Mykola Leontovych (1877–1921),Christmas / classical,Ukrainian carol,20th century (c. 1900–2000),Carol / ostinato-based,E minor,3/4 or 4/4,Intermediate,Solo violin / ensemble,Ukraine,Christmas concerts,Common in Christmas sets,"Christmas › Carol; mood: mysterious, driving","Repeated patterns, accents; good for string crossings in minor key",Original is Ukrainian ‘Shchedryk’.
Centone di Sonate,Niccolò Paganini (1782-1840),Classical,Violin sonata,Romantic (c. 1800–1910),Sonata / movement excerpts,N/A,"Commonly 2/4, 3/4, 4/4",Intermediate–Advanced,Violin + guitar or piano,Italy,Recital and study,N/A,"Classical › Romantic sonatas; mood: varied (lyrical, brilliant)","Shifting to 3rd and above, arpeggios, double stops depending on movement",Set of short sonatas originally for violin and guitar (various keys).
Charlie Parker Minor Lick,Marc Mouries,Jazz / étude,Bebop-style minor lick,Contemporary (c. 1975–present),Lick / exercise,N/A,4/4,Intermediate–Advanced,Solo violin,N/A,"Improvisation vocabulary, technique",N/A,"Jazz › Bebop lick; mood: intense, driving","Focus on articulation, finger patterns through cycle of 4ths, minor ii–V–i shapes",Key and pattern based on your design (often D minor / G minor).
Chicago,Fred Fisher,Song / standard,Tin Pan Alley,20th century (c. 1900–2000),Song,C major,4/4,Intermediate,Solo violin + accompaniment,USA,Song feature,N/A,"Songbook › Early jazz / show tune; mood: jaunty, upbeat",Good for swing phrasing if played as jazz; simple song if straight,From song “Chicago (That Toddlin’ Town)”.
Chosen Kalle Mazel Tov,Traditional,Folk,Klezmer / Jewish wedding,Traditional (pre-modern),Dance tune / freylekh,D minor / D Dorian,2/4 or 4/4,Intermediate,Solo violin / Klezmer ensemble,Eastern Europe (Jewish),Wedding / celebration,Common in Klezmer repertoire,"Folk › Klezmer wedding tune; mood: joyful, celebratory","Klezmer ornaments (krekhts, slides), strong accents, modal sound",Key varies; your chart may set in Dm or Am.
Color Purple,Quincy Jones,Film / soul-jazz,Film score,20th century (c. 1900–2000),Theme / song,G major,4/4,Intermediate,Solo violin + backing,USA,Film theme performance,N/A,"Film music › Soul-influenced; mood: emotional, tender","Focus on expressive phrasing, big cinematic lines",From *The Color Purple* score (likely arrangement).
Concerto in Sol Minore,Antonio Vivaldi (1678 – 1741),Classical,Baroque violin concerto,Baroque (c. 1600–1750),Concerto movement(s),G minor,4/4 (with 3/4 etc. in movements),Intermediate–Advanced,Solo violin + accompaniment,Italy,Recital concerto,N/A,"Classical › Baroque concerto; mood: dramatic, virtuosic","Baroque articulation, sequences, 1st–5th position depending on cadenza",Could be the RV 317 or related; adjust to your specific concerto.
Contraband Police,Lukasz Kapuscinski,Game / film music,Soundtrack,Contemporary (c. 1975–present),Theme / cue,E minor,4/4,Intermediate,Solo violin + backing track,Poland,Game music performance,N/A,"Game music › Cinematic; mood: dark, tense",Long notes plus rhythmic figures; atmospheric playing,From video game *Contraband Police*.
Daphné,Django Reinhardt,Jazz,Gypsy jazz swing,20th century (c. 1900–2000),Head / tune,D major,4/4,Advanced,Solo violin + rhythm section,France,Gypsy jazz performance,N/A,"Jazz › Gypsy jazz standard; mood: bright, agile","Fast tempo, arpeggios, chromatic runs; demands strong swing feel",Often in D for gypsy jazz groups.
Darby O' Gill - Fox Chase,Traditional,Folk,Irish / film-related,Traditional (pre-modern),Medley / programmatic tune,D major / G major,6/8 & 4/4 mixed,Intermediate,Solo fiddle,Ireland,Session / performance,Less common,"Folk › Irish medley; mood: playful, storytelling","Mix of jig-like and reel-like figures, accents, and effects (fox chase)",Associated with Irish folklore / film references.
Deck the Halls,Traditional Welsh,Christmas,Welsh carol,Traditional (pre-modern),Carol,G major,4/4,Beginner–Intermediate,Solo violin / ensemble,Wales,"Christmas services, caroling",Common in Christmas sets,"Christmas › Carol; mood: festive, joyful",Simple melody; useful for beginners and group playing,Often harmonized in simple I–IV–V progressions.
Devil's Dream,Traditional,Folk,American / Irish reel,Traditional (pre-modern),Reel / hoedown,A major,2/4,Intermediate–Advanced,Solo fiddle,USA / British Isles,"Fast tune sets, contests",Very common,"Folk › Reel / hoedown; mood: fiery, energetic","Fast string crossings, arpeggios; good for right-hand agility",Common contest tune in A.
Down To The River To Pray,Traditional American,Gospel / spiritual,Appalachian gospel,Traditional (pre-modern),Hymn / spiritual,G major,4/4 (sometimes free),Beginner–Intermediate,Solo violin + voice / backing,USA,"Church, contemplative sets",Occasionally,"Gospel › Spiritual; mood: prayerful, soulful","Legato phrasing, expressive slides; can be played very freely","Popularized by *O Brother, Where Art Thou?*."
Dr. Gilbert's,Traditional,Folk,Irish or New England contra style,Traditional (pre-modern),Dance tune / reel,D major,4/4,Intermediate,Solo fiddle,Ireland / North America,Session / contra dance,Moderately common,"Folk › Dance tune; mood: lively, driving","String crossings in D, standard fiddle bowing patterns",Exact origin/trad varies; adapt tags if you know your source.
Eine Kleine Nachtmusik,W. A. Mozart,Classical,Classical serenade,Classical (c. 1730–1820),Serenade movement / excerpt,G major,4/4,Intermediate–Advanced,Solo violin (melody) + accompaniment,Austria,"Recital, weddings, background music",N/A,"Classical › Classical era serenade; mood: elegant, cheerful","Good for classical articulation, light detaché, simple shifts",Most arrangements use first movement opening theme.
Emma's Waltz,Traditional Finnish,Folk,Finnish waltz,Traditional (pre-modern),Waltz,A minor (often also D or E minor),3/4,Early Intermediate,Solo fiddle,Finland / Nordic,Slow waltz sets,Common in Nordic circles,"Folk › Finnish waltz; mood: wistful, gentle","Emphasis on phrasing, vibrato, expressive rubato",Often played in A minor or E minor in fiddle circles.:contentReference[oaicite:0]{index=0}
Erev shel Shoshanim,Yosef Hadar,Folk,Israeli song,20th century (c. 1900–2000),Song,D minor,4/4,Intermediate,Solo violin,Israel,"Weddings, ceremonies",Common in Jewish events,"Folk › Israeli song; mood: romantic, serene","Expressive vibrato, slides; works well with simple accompaniment",Often in Dm or Em; minor mode with Middle Eastern flavor.
Etude № 2,Kreutzer,Classical,Violin étude,Classical (c. 1730–1820),Étude,C major (depends on edition),4/4,Intermediate–Advanced,Solo violin,France,Technical study,N/A,"Classical › Étude; mood: neutral, technical","Focus on bow control, string crossing, intonation, depending on étude",Specify actual key of your chosen Kreutzer #2.
Formatting of piece headers,Marc Mouries,Didactic / layout,Technical example,Contemporary (c. 1975–present),Example / template,N/A,N/A,Beginner–Intermediate,Solo violin (if music included),N/A,Layout / engraving practice,N/A,Technique › LilyPond / engraving template; mood: N/A,"Used as example file, not really a performance piece",Treat as library/engraving meta-piece.
Für Elise,Ludwig van Beethoven,Classical,Piano miniature (arranged),Classical (c. 1730–1820),Character piece / bagatelle,A minor,3/8,Early Intermediate,Solo violin (melody) + accompaniment,Germany,"Recital, student concerts",N/A,"Classical › Romantic favorite; mood: nostalgic, lyrical","Shifts to 3rd, simple arpeggios if fully arranged",Originally for solo piano in A minor.
Gammes de Blues,Marc Mouries,Exercise,Blues scales study,Contemporary (c. 1975–present),Scale / exercise set,"Various (A, D, G, etc.)",4/4,Beginner–Intermediate,Solo violin,N/A,"Technique, improvisation prep",N/A,Technique › Blues scales; mood: practice-focused,Focus on left-hand patterns and ear training for blues; repetitive patterns,Keys depend on your design (likely fiddle-friendly).
Gari Gari,Traditional Hungarian,Folk,Hungarian / Roma,Traditional (pre-modern),Song / dance tune,A minor,2/4,Intermediate,Solo violin,Hungary,Folk performance,Less common,"Folk › Hungarian song; mood: melancholic, dramatic","Use of slides, expressive phrasing; can be played fast or slow",Often sung; violin version takes vocal line.
Gary Owen,Traditional Irish,Folk,Irish march,Traditional (pre-modern),March / tune,D major,6/8 or 2/4 march,Intermediate,Solo fiddle,Ireland,"March sets, historical pieces",Moderately common,"Folk › Irish march; mood: martial, upbeat","Strong accents, simple patterns in D; good for marching feel",Known as a cavalry march tune in US history.
Greensleeves Jig,Traditional English,Folk,English / session adaptation,Traditional (pre-modern),Jig adaptation,G major / E minor,6/8,Intermediate,Solo fiddle,England,Fun variation in sessions,Occasional,"Folk › English jig variant; mood: playful, lilting","Jig bowing patterns, accents on 1–4; modal sound if Em",Derived from song ‘Greensleeves’.
Greensleeves,Traditional English,Folk,English ballad,Renaissance (c. 1400–1600),Song / air,E minor,3/4 or 6/8,Early Intermediate,Solo violin,England,"Recital, church, folk sets",Common,"Folk › English song; mood: melancholic, lyrical","Long phrases, expressive rubato, simple ornaments",Sometimes titled ‘What Child Is This?’ in hymn form.
Happy Birthday,Patty Hill and Mildred J. Hill (1893),Song,Birthday song,20th century (c. 1900–2000),Song,G major,3/4,Beginner,Solo violin,USA,Birthday occasions,Very common,"Song › Celebration; mood: cheerful, simple","Perfect for beginners, basic intonation and rhythm",Key easily changed; G is fiddle-friendly.
Hatikvah (The Hope),Traditional,Folk / national anthem,Israeli anthem,Late Romantic (c. 1850–1920),Anthem / song,D minor,4/4,Early Intermediate,Solo violin,Israel,"Ceremonies, commemorations",N/A,"Anthem › Israeli; mood: solemn, hopeful","Expressive vibrato, sustained tone; slow tempo",Melody derived from Eastern European sources.
Hedgehog Video Music,Unknown,Media / game-like,Unknown,Contemporary (c. 1975–present),Theme / cue,E minor,4/4,Intermediate,Solo violin,N/A,Video-related performance,N/A,Media music › Theme; mood: energetic,Likely short loop / riff; you can retag once origin is clearer,Placeholder classification based on typical ‘hedgehog’ game music vibe.
Hevenu shalom aleichem,Trad. Jewish,Folk / religious,Jewish song,Romantic (c. 1800–1910),Song,G major,3/4,Beginner–Intermediate,Solo violin,Jewish diaspora,Religious / social gatherings,Common in Jewish communities,"Folk › Jewish song; mood: joyful, welcoming","Simple, repetitive melody; good for community singing",Means “We brought peace to you”.
Hier Encore,Charles Aznavour,Chanson,French chanson,20th century (c. 1900–2000),Song / ballad,C minor,4/4,Intermediate,Solo violin + accompaniment,France,Song feature,N/A,"Song › French chanson; mood: nostalgic, bittersweet","Expressive slides, rubato; lyrical phrasing key","Original in French, strong vocal character."
Hora Mărțișorului,Grigoraș Dinicu (1889-1949),Folk / virtuosic,Romanian hora,Late Romantic (c. 1850–1920),Dance piece,D major,2/4,Advanced,Solo violin,Romania,"Showpiece, encore",N/A,"Folk › Romanian › Hora; mood: exuberant, lively","Fast tempos, flashy techniques, double stops, high positions",Typical virtuosic Dinicu style.
Humoresque,Antonín Dvořák (1841–1904),Classical,Romantic salon piece,Romantic (c. 1800–1910),Character piece,G-flat major (often transposed to G),2/4 or 4/4,Intermediate,Solo violin + piano,Czech lands,"Recital, student piece",N/A,"Classical › Romantic miniature; mood: gentle, lyrical","Position work, legato bowing, expressive phrasing",Commonly played in G major for violin.
I Saw Three Ships,Traditional English,Christmas,English carol,Traditional (pre-modern),Carol,G major,6/8,Beginner–Intermediate,Solo violin,England,"Christmas services, caroling",Common,"Christmas › Carol; mood: joyful, dancing",Jig-like 6/8 feel; good for teaching compound meter,Often part of carol medleys.
Ievan Polkka,Trad. Finnish,Folk,Finnish polka,Traditional (pre-modern),Polka / song,A minor / D minor (varies),2/4,Intermediate,Solo fiddle,Finland,"Sessions, fun performance",Common online / moderate in sessions,"Folk › Finnish polka; mood: humorous, driving",Fast tongued notes if sung; on violin lots of string crossings,Internet meme fame; key varies widely.
Ievan polkka,Trad. Finish Folk Song,Folk,Finnish polka,Traditional (pre-modern),Polka / song (duplicate entry),A minor / D minor,2/4,Intermediate,Solo fiddle,Finland,As above,Common online / moderate,Folk › Finnish polka; mood: playful,Same core tune; treat as alt spelling / duplicate,You may want to merge with previous entry in your DB.
Im Hashem Lo Yivneh Bayis,Traditional,Religious / song,Jewish religious song (Psalm 127),Traditional (pre-modern),Song,G major,3/4 or 4/4,Beginner–Intermediate,Solo violin,Jewish diaspora,Religious ceremonies,Occasional,Folk › Jewish religious song; mood: devotional,"Simple melody, can be ornamented Klezmer-style",Text drawn from Psalms; melodic variants exist.
Improvisations sur les folies d'Espagne,Marin Marais,Classical,Baroque variations,Baroque (c. 1600–1750),Theme & variations,D minor,3/4 or 6/4,Advanced,Solo violin (adaptation),France,Early music performance,N/A,"Classical › Baroque › Folia variations; mood: dramatic, varied","Ornaments, variation technique, complex bowing and double stops",Original for viola da gamba; violin adaptation uses higher positions.
In The Mood For Love,Shigeru Umebayashi,Film,East Asian film score,Contemporary (c. 1975–present),Film theme,A minor,4/4,Intermediate,Solo violin + backing,China / Hong Kong,Film theme performance,N/A,"Film music › Romantic; mood: melancholic, intimate","Long melody, portamento slides, expressive vibrato",From Wong Kar-wai’s *In the Mood for Love*.
In the Mood for Love,Shigeru Umebayashi,Film,East Asian film score,Contemporary (c. 1975–present),Film theme (duplicate),A minor,4/4,Intermediate,Solo violin + backing,China / Hong Kong,As above,N/A,Film music › Romantic; mood: wistful,Duplicate entry; same tagging as previous row,You may want to keep one and store alt title as alias.
Io Ti Penso Amore,Niccolò Paganini (1782-1840),Classical,Romantic aria,Romantic (c. 1800–1910),Aria / song (violin adaptation),D major,4/4,Intermediate–Advanced,Solo violin + piano,Italy,"Recital, lyrical showpiece",N/A,"Classical › Romantic song; mood: tender, expressive","Emphasis on singing tone, shifts, tasteful portamento",Often arranged for voice and violin; key may vary.
Irish  Medley,Martin Hayes,Folk,Irish medley,Contemporary (c. 1975–present),Medley of tunes,N/A,"Mixed (6/8, 4/4, etc.)",Intermediate–Advanced,Solo fiddle,Ireland,"Sessions, performances",N/A,Folk › Irish medley; mood: varied (from contemplative to fiery),Includes multiple tune types; each with its own feel,Exact tunes depend on Hayes' recording/arrangement (often D/G/A).
Jean Petit qui danse,Traditional French,Folk,French children’s song,Traditional (pre-modern),Song / dance,G major,2/4,Beginner,Solo violin,France,"Teaching children, simple performances",Occasional,Folk › French children’s song; mood: playful,Very simple melody; good for first-position only,Often sung in schools; easy rhythm.
Jerusalem Ridge,Bill Monroe,Folk / bluegrass,Bluegrass fiddle showpiece,20th century (c. 1900–2000),Reel / breakdown,A minor (modal),4/4,Advanced,Solo fiddle + bluegrass band,USA,"Fiddle contests, jams",Common in bluegrass circles,"Folk › Bluegrass › Fiddle tune; mood: dark, driving","Complex structure, shifting positions, tricky bowing",Usually played fast; iconic Monroe tune.
Jig Rhythm: 10-Minute Daily Routine,Marc Mouries,Exercise / folk technique,Irish jig bowing practice,Contemporary (c. 1975–present),Technical routine,D major / G major,6/8,Early Intermediate–Intermediate,Solo violin,N/A,Technique / bowing practice,N/A,Technique › Jig rhythm; mood: practice-focused,"Focus on jig bow patterns (“3+3”, “2+2+2”), string crossings",Use at slow to medium tempo to train groove.
Joy to the World,George Frideric Handel (1685–1759),Christmas,English hymn,Baroque (c. 1600–1750),Carol / hymn,D major,4/4,Beginner–Intermediate,Solo violin / ensemble,England,Christmas services,Common,"Christmas › Carol; mood: triumphant, joyful","Strong, declamatory bowing; simple harmonies",Melody derived from Handel themes.
L'Air Mignonne,Simon Riopel,Folk / barndance,Quebec / French Canadian,Contemporary (c. 1975–present),Barndance,A major,4/4,Intermediate,Solo fiddle,Quebec / Canada,"Dance sets, sessions",Moderately common in niche circles,"Folk › Quebec barndance; mood: cheerful, bouncy","Strong dance rhythm, repetitive structure, swingy 4/4 feel",Well-suited to contra and square dances.
L'Apprenti Sorcier / The Sorcerer's Apprentice,Paul Dukas,Classical,Late-romantic symphonic poem,Late Romantic (c. 1850–1920),Symphonic theme / excerpt,E minor,4/4 (with changes),Advanced,Solo violin (excerpt),France,Orchestral excerpt / fun arrangement,N/A,"Classical › Symphonic poem; mood: mischievous, dramatic","Rhythmic precision, dynamic contrast, character playing",Known from Disney’s *Fantasia*.
La Rose Jaune,Traditional Hungarian,Folk,Hungarian / Roma,Traditional (pre-modern),Song / dance,D minor,4/4,Intermediate,Solo violin,Hungary,Folk sets,Less common,Folk › Hungarian song; mood: melancholic,"Uses slides, expressive phrasing, occasional double stops",Exact key depends on source; Dm common for violin.
"Let It Snow, Let It Snow, Let It Snow!",Jule Styne,Christmas / jazz,Holiday standard,20th century (c. 1900–2000),Song / standard,G major,4/4,Intermediate,Solo violin + accompaniment,USA,"Christmas gigs, jazz sets",Common in jazz Christmas sets,"Christmas › Jazz standard; mood: cozy, upbeat",Swing or straight feel; great for jazz phrasing practice,Often in G or F for lead sheets.
Manhã De Carnaval,Luiz Bonfá,Latin,Bossa nova / film,20th century (c. 1900–2000),Song / theme,A minor,4/4,Intermediate,Solo violin + rhythm,Brazil,"Latin sets, film music",N/A,"Latin › Bossa; mood: bittersweet, relaxed","Light articulation, subtle swing, syncopation",Theme from film *Black Orpheus*.
Minor Swing,Django Reinhardt & Stéphane Grappelli,Jazz,Gypsy jazz,20th century (c. 1900–2000),Head / jam tune,A minor,4/4,Intermediate–Advanced,Solo violin + rhythm section,France,Gypsy jazz jam standard,Very common,"Jazz › Gypsy jazz standard; mood: driving, hypnotic","Rest-stroke style, arpeggios, classic gypsy vocabulary",Wardrobe for improvisation practice.
Minuet in G,L. V. Beethoven (1770–1827) ,Classical,Classical minuet,Classical (c. 1730–1820),Minuet,G major,3/4,Early Intermediate,Solo violin + piano,Germany,Student recitals,N/A,"Classical › Teaching piece; mood: graceful, elegant","Basic shifting, simple ornaments, classical phrasing",Originally for piano; many violin arrangements.
Misty,Erroll Garner,Jazz,Ballad,20th century (c. 1900–2000),Song / ballad,Eb major (often transposed),4/4,Intermediate–Advanced,Solo violin + accompaniment,USA,Jazz ballad feature,N/A,"Jazz › Ballad; mood: lush, romantic","Rubato intro, rich vibrato, warm tone essential",Common in Eb for horns; string charts often in G or F.
Modes,Marc Mouries,Exercise / theory,Modal practice,Contemporary (c. 1975–present),Scale / mode study,Various,4/4,Beginner–Intermediate,Solo violin,N/A,Theory / technical work,N/A,Technique › Modes; mood: practice-focused,"Dorian, Mixolydian, etc. over fiddle-friendly keys; for improvisation practice",Use tags for each mode if you split into multiple files.
Molly Bán,Traditional,Folk / ballad,Irish song,Traditional (pre-modern),Slow air / ballad,D major / D mixolydian,3/4 or free,Intermediate,Solo fiddle,Ireland,Slow air sets,Moderately common,"Folk › Irish slow air; mood: tragic, mournful","Requires flexible timing, strong expressive control, ornamentation",Also known as “Molly Ban” / “Molly Bawn”.
Mori Shej,József Balogh (Kályi Jág),Folk / Roma,Hungarian Roma song,20th century (c. 1900–2000),Song,A minor,4/4,Intermediate,Solo violin,Hungary / Roma,Roma music performance,Less common,"Folk › Roma song; mood: soulful, intense","Slides, vocal-like phrasing; often medium tempo",From Kalyi Jag Roma repertoire.
Muss I Denn,Traditional German,Folk,German folk song,Traditional (pre-modern),Song,G major,4/4 (sometimes 2/4),Beginner,Solo violin,Germany,"Teaching, simple concerts",Common in folk anthologies,"Folk › German song; mood: gentle, sentimental","Great for beginners; stepwise motion, simple rhythm",Known in English as “Wooden Heart” with different text.
My Gypsy Jazz Practice,Marc Mouries,Exercise,Gypsy jazz study,Contemporary (c. 1975–present),Practice study / etude,A minor / D minor,4/4,Intermediate–Advanced,Solo violin,N/A,"Technical study, vocabulary building",N/A,"Jazz › Gypsy practice; mood: focused, driving","Combines licks, arpeggios, rest-stroke bowing, typical Django changes",Tag each section if you split into subsections.
Nessun dorma,Giacomo Puccini,Classical / opera,Italian aria,Late Romantic (c. 1850–1920),Aria,G major (often transposed),4/4,Intermediate–Advanced,Solo violin + piano,Italy,"Recital, dramatic feature",N/A,"Classical › Opera aria; mood: heroic, emotional","Broad, singing lines; big climaxes; portamento is common",From *Turandot*.
Nine by Nine,N. Picket,Folk / contra,Contra dance tune,Contemporary (c. 1975–present),Dance tune,D major,4/4,Intermediate,Solo fiddle,USA,"Contra dance, sessions",Moderately common,"Folk › Contra; mood: driving, upbeat","Straight groove, moderate tempo; good for bowing consistency",Exact key/time from your source; D is common.
